,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
348450,tt0363828,video,Mortal Kombat: The Journey Begins,Mortal Kombat: The Journey Begins,0,1995,\N,39,"Action,Adventure,Animation"
348605,tt0363988,movie,Secret Window,Secret Window,0,2004,\N,96,"Drama,Mystery,Thriller"
348659,tt0364045,movie,Taking Lives,Taking Lives,0,2004,\N,103,"Crime,Mystery,Thriller"
348954,tt0364343,movie,The Final Cut,The Final Cut,0,2004,\N,95,"Drama,Sci-Fi,Thriller"
348995,tt0364385,movie,Ju-on: The Grudge,Ju-on,0,2002,\N,92,Horror
349126,tt0364517,movie,Love Me If You Dare,Jeux d'enfants,0,2003,\N,93,"Comedy,Drama,Romance"
349177,tt0364569,movie,Oldboy,Oldeuboi,0,2003,\N,120,"Action,Drama,Mystery"
349330,tt0364725,movie,Dodgeball: A True Underdog Story,Dodgeball: A True Underdog Story,0,2004,\N,92,"Comedy,Sport"
349356,tt0364751,movie,Without a Paddle,Without a Paddle,0,2004,\N,95,"Adventure,Comedy,Mystery"
349523,tt0364930,movie,Aileen: Life and Death of a Serial Killer,Aileen: Life and Death of a Serial Killer,0,2003,\N,93,"Crime,Documentary"
349548,tt0364955,movie,Art School Confidential,Art School Confidential,0,2006,\N,102,"Comedy,Drama,Romance"
349553,tt0364961,movie,The Assassination of Richard Nixon,The Assassination of Richard Nixon,0,2004,\N,95,"Biography,Crime,Drama"
349562,tt0364970,movie,Babylon A.D.,Babylon A.D.,0,2008,\N,90,"Action,Adventure,Sci-Fi"
349760,tt0365183,movie,Falling Angels,Falling Angels,0,2003,\N,109,Drama
349767,tt0365190,movie,Red Lights,Feux rouges,0,2004,\N,105,"Crime,Drama,Mystery"
349840,tt0365265,movie,Ginger Snaps Back: The Beginning,Ginger Snaps Back: The Beginning,0,2004,\N,94,"Drama,Horror,Thriller"
349944,tt0365376,movie,A Tale of Two Sisters,"Janghwa, Hongryun",0,2003,\N,114,"Drama,Horror,Mystery"
350046,tt0365485,movie,The Matador,The Matador,0,2005,\N,96,"Comedy,Crime,Thriller"
350207,tt0365651,tvMiniSeries,Prime Suspect: The Last Witness,Prime Suspect: The Last Witness,0,2003,2003,98,"Crime,Drama,Thriller"
350239,tt0365686,movie,Revolver,Revolver,0,2005,\N,111,"Action,Crime,Drama"
350289,tt0365737,movie,Syriana,Syriana,0,2005,\N,128,"Drama,Thriller"
350299,tt0365748,movie,Shaun of the Dead,Shaun of the Dead,0,2004,\N,99,"Comedy,Horror"
350376,tt0365830,movie,Tenacious D in the Pick of Destiny,Tenacious D in The Pick of Destiny,0,2006,\N,94,"Adventure,Comedy,Music"
350426,tt0365885,movie,The Upside of Anger,The Upside of Anger,0,2005,\N,118,"Comedy,Drama"
350446,tt0365907,movie,A Walk Among the Tombstones,A Walk Among the Tombstones,0,2014,\N,114,"Action,Crime,Drama"
350495,tt0365957,movie,You Got Served,You Got Served,0,2004,\N,95,"Drama,Music"
350702,tt0366174,movie,Anacondas: The Hunt for the Blood Orchid,Anacondas: The Hunt for the Blood Orchid,0,2004,\N,97,"Action,Adventure,Horror"
350705,tt0366177,video,The Animatrix: A Detective Story,A Detective Story,0,2003,\N,10,"Animation,Drama,Mystery"
350819,tt0366292,movie,One Missed Call,Chakushin ari,0,2003,\N,112,"Horror,Mystery"
351050,tt0366532,movie,Seducing Doctor Lewis,La grande séduction,0,2003,\N,108,"Comedy,Drama"
351064,tt0366548,movie,Happy Feet,Happy Feet,0,2006,\N,108,"Adventure,Animation,Comedy"
351067,tt0366551,movie,Harold & Kumar Go to White Castle,Harold & Kumar Go to White Castle,0,2004,\N,88,"Adventure,Comedy"
351137,tt0366627,movie,The Jacket,The Jacket,0,2005,\N,103,"Drama,Fantasy,Mystery"
351281,tt0366777,movie,Millions,Millions,0,2004,\N,98,"Comedy,Crime,Drama"
351284,tt0366780,movie,Mirrormask,Mirrormask,0,2005,\N,101,"Drama,Fantasy"
351518,tt0367027,movie,Shortbus,Shortbus,0,2006,\N,101,"Comedy,Drama,Romance"
351573,tt0367085,movie,Soul Plane,Soul Plane,0,2004,\N,86,Comedy
351577,tt0367089,movie,The Squid and the Whale,The Squid and the Whale,0,2005,\N,81,"Comedy,Drama"
351581,tt0367093,video,Starship Troopers 2: Hero of the Federation,Starship Troopers 2: Hero of the Federation,0,2004,\N,88,"Action,Adventure,Horror"
351951,tt0367479,movie,After the Sunset,After the Sunset,0,2004,\N,97,"Action,Comedy,Crime"
352026,tt0367555,tvEpisode,No Direction Home: Bob Dylan,No Direction Home: Bob Dylan,0,2005,\N,208,"Biography,Documentary,History"
352063,tt0367594,movie,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,0,2005,\N,115,"Adventure,Comedy,Family"
352098,tt0367631,movie,D.E.B.S.,D.E.B.S.,0,2004,\N,91,"Action,Comedy,Romance"
352117,tt0367652,movie,Deuce Bigalow: European Gigolo,Deuce Bigalow: European Gigolo,0,2005,\N,83,Comedy
352244,tt0367790,movie,Baadasssss!,How to Get the Man's Foot Outta Your Ass,0,2003,\N,109,"Biography,Drama"
352332,tt0367882,movie,Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull,0,2008,\N,122,"Action,Adventure"
352408,tt0367959,movie,Hannibal Rising,Hannibal Rising,0,2007,\N,121,"Adventure,Crime,Drama"
352452,tt0368008,movie,The Manchurian Candidate,The Manchurian Candidate,0,2004,\N,129,"Drama,Mystery,Sci-Fi"
352530,tt0368089,movie,November,November,0,2004,\N,73,"Drama,Mystery,Thriller"
352663,tt0368226,movie,The Room,The Room,0,2003,\N,99,Drama
352700,tt0368264,movie,Shakespeare Behind Bars,Shakespeare Behind Bars,0,2005,\N,93,Documentary
352876,tt0368447,movie,The Village,The Village,0,2004,\N,108,"Drama,Mystery,Thriller"
352999,tt0368574,video,The Animatrix: Kid's Story,Kid's Story,0,2003,\N,15,"Animation,Sci-Fi,Short"
353000,tt0368575,video,The Animatrix: The Second Renaissance Part II,The Second Renaissance Part II,0,2003,\N,10,"Animation,Drama,Sci-Fi"
353003,tt0368578,movie,Are We There Yet?,Are We There Yet?,0,2005,\N,95,"Adventure,Comedy,Family"
353083,tt0368658,movie,Stage Beauty,Stage Beauty,0,2004,\N,106,Drama
